,"If not answered by DB, do not surface in website. ",,,"If not answered by DB, do not surface in website. ",Data broker primary address,,,,,"If not answered by DB, do not surface in website. ",,,,,,"If not answered by DB, do not surface in website. ",,,,"If not answered by DB, do not surface in website. ",,,,"If not answered by DB, do not surface in website. ",,,,"If not answered by DB, do not surface in website. ",,,,"If not answered by DB, do not surface in website. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DecisionLinks,,https://www.decisionlinks.com/,support@decisionlinks.com,800-343-2955,"3215 Gonzales Street, #1102",Austin,TX,78702,USA,n/a,No,No,No,https://www.decisionlinks.com/privacy-policy,Yes,We are a contracted agent processor of Equifax. We support credit marketing for their clients.,"We work with Equifax prescreen credit data. The FCRA requires a firm offer of credit is required to utilize this data. Equifax collects and provides the data, we review marketing material to ensure FCRA compliance is met before data can be delivered. ","We do not collect the data, only broker it. Credit data sales is an estimated 80% of our business activity. ",No,,,,No,,,,No,,,,No,,,,750,750,0,0,10,20,0,0,0,0,0,0,25,25,0,25,10,20,300,300,0,0,10,20,0,0,0,0,0,0,n/a,We are a contracted agent processor of Equifax. We support credit marketing for their clients. Equifax provides us with the data.
"MULTIMEDIA LISTS, INC.",,https://www.multimedialists.com/,DANIEL@MULTIMEDIALISTS.COM,256-468-5478,"3407 Commerce Street
",Alpharetta,GA,30009,USA,N/A,No,No,No,https://www.multimedialists.com/privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,11,11,11,11,3,4,17,17,17,0,3,4,17,17,17,17,3,4,11,11,11,11,3,4,11,11,11,0,3,4,,
Nexxen Inc.,,https://www.nexxen.com,privacyrights@nexxen.com,,"3535 Factoria Blvd., Suite 440",Bellevue,WA,98006,USA,N/A,No,No,No,https://nexxen.com/website-privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,47,38,38,9,21,36,186,28,28,158,44,44,186,28,28,158,44,44,131,15,15,116,45,45,0,0,0,0,0,0,Please note that the numbers above reflect data across the US not solely California. The company does not process sensitive personal information. ,
"Fushia Media, LLC.",,https://www.fushiamedia.com,lgold@fushiamedia.com,239-994-0787,"9160 Forum Corporate Parkway, Suite 350",Fort Myers,FL,33905,USA,N/a,No,No,No,https://www.fushiamedia.com/privacy,No,,,,No,,,,No,,,,No,,,,No,,,,5,5,5,0,1,1,5,5,5,0,1,1,5,5,5,0,1,1,5,5,5,0,1,1,0,0,0,0,0,0,,https://www.fushiamedia.com/privacy
"Predictive Pop, Inc.",Audigent,https://www.audigent.com,yourprivacyrights@audigent.com,888-483-9029,200 Varick Street,New York,NY,10014,USA,N/A,No,No,No,https://www.audigent.com/privacy-center,No,,,,No,,,,No,,,,No,,,,No,,,,3,3,3,0,1,1,583886,0,0,0,0,0,0,0,0,0,0,0,583886,583886,0,0,1,1,0,0,0,0,0,0,,
Car Market Solutions LLC,,https://www.carmarketsolutions.com,ben@carmarketsolutions.com,630-781-3192,73 Finch Ct.,Naperville,IL,60565,USA,N/A,No,No,No,https://www.carmarketsolutions.com/privacy-notice/,Yes,"Customers Name , Address , City , State , Zipcode",FCRA regulates use of credit information and processes of making firm offers of credit.,70% is Credit Based Data and 30% is Public Record Data,No,,,,No,,,,No,,,,No,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,We provide both the short form opt out as well as a full opt out. Consumers that do not want to be marketed can make that decision.,"We are not a direct facing consumer company. All our products that use pre-screened offers must meet FCRA standards to be approved. We are an approved 3rd party processor for Trans Union and Equifax. That requires us to be vetted prior to be able to acess any consumer data. Including all privacy plans as well as data and server security.
"
"	Monevo, Inc.",,https://www.monevo.com,usasupport@monevo.com,,"169 Saxony Rd., Suite 212",Encinitas,CA,92024,USA,N/A,No,No,No,https://app.monevo.us/privacy-policy,Yes,https://app.monevo.us/privacy-policy,https://app.monevo.us/privacy-policy,https://app.monevo.us/privacy-policy,No,,,,No,,,,No,,,,No,,,,201,201,201,0,7,7,10,10,10,0,7,7,12,12,12,0,7,7,89,89,89,0,7,7,0,0,0,0,0,0,,Monevo maintains secure files and privacy practices. Monevo is SOC-2 Type II certified.
Malvern Media Inc.,,https://www.malvernmedia.com,info@malvernmedia.com,,2129 Redcliff St.,Los Angeles,CA,90039,USA,N/A,No,No,No,https://www.malvernmedia.com/privacy-policy,No,,,,No,,,,No,,,,No,,,,No,,,,39,39,0,0,2,2,0,0,0,0,2,2,5,5,0,0,2,2,1,1,0,0,2,2,1,1,0,0,2,2,,
Grassroots Analytics,,https://www.grassrootsanalytics.com/,compliance@grassrootsanalytics.com,,"806 7th Street NW, Suite 300",Washington,DC,20001,USA,N/A,Yes,No,No,https://www.grassrootsanalytics.com/california-consumer-privacy-act-ccpa,No,,,,No,,,,No,,,,No,,,,No,,,,63,63,0,0,1,1,17,17,17,0,1,1,17,17,0,0,1,1,63,63,0,0,1,1,0,0,0,0,0,0,,
"Stirista, LLC","Stirista, 123Push, LBDigital, Media Source Solutions (MSS), Customer Portfolios ,
Portfolio Solutions, Ameribase Digital, Lighthouse Lists,
Andrews Wharton, Adstir, List Builder 360, List Connection, Magnetik",https://www.stirista.com/,info@stirista.com,,"16414 San Pedro Ave., Suite 150
",San Antonio,TX,78232,USA,N/A,No,No,No,https://www.stirista.com/privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,33,33,33,0,1,1,28,1,1,27,1.5,1.5,28,1,1,27,1.5,1.5,258,258,258,0,3,3,258,258,258,0,3,3,,
"Swarm Holdings, Inc.",The Swarm,https://www.theswarm.com/,hello@theswarm.com,,23 Brookside Drive,San Anselmo,CA,94960,USA,N/A,No,No,No,https://www.theswarm.com/privacy,No,,,,No,,,,No,,,,No,,,,No,,,,6,6,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
PrivCo Media LLC,,https://www.privco.com,legal@privco.com,,"149 East 23rd Street, #1904",New York,NY,10010,USA,N/A,No,No,No,https://www.privco.com/privacy-policy,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Mobilewalla, Inc.",,https://www.mobilewalla.com/,jclark@mobilewalla.com,,"5170 Peachtree Road, BLDG 100, STE 100",Chamblee,GA,30341,USA,n/a,No,Yes,No,https://www.mobilewalla.com/california-residents-do-not-sell-my-personal-information,No,,,,No,,,,No,,,,No,,,,No,,,,1615,1578,1615,37,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"we treat all requests as delete requests as we do not have data to authenticate a request.  we process all as deletes and we add the Mobilewalla Advertising ID (MAID) to our optout database so if we receive the MAID in the future, we do not process the MAID.",all of our data is third party sourced.  we do not posses first party data.
"Slashdot Media, LLC",,https://www.slashdotmedia.com,roger.abbott@slashdotmedia.com,858-454-5900,"225 Broadway, Suite 1600",San Diego,CA,92101,USA,N/A,No,No,No,https://www.slashdotmedia.com/privacy-statement/,No,,,,No,,,,No,,,,No,,,,No,,,,1679,1445,0,234,0.04,1.06,17,8,0,9,0.7,1.1,0,0,0,0,0,0,690,517,0,173,0.04,0.2,0,0,0,0,0,0,,We only collect business card data.
"Blue Hill Marketing Solutions, Inc",LiftEngine,https://www.liftbasedata.com,Dataprivacy@liftbasedata.com,,"1 Blue Hill Plaza, Suite 1509, Lobby Level",Pearl River,NY,10965,USA,N/A,No,No,No,https://www.liftbasedata.com/request-to-know/,No,,,,No,,,,No,,,,No,,,,No,,,,51,34,17,17,7,7,22,14,7,7,3,5,23,15,8,8,3,5,51,34,17,17,7,7,0,0,0,0,0,0,LiftEngine does not have access to sensitive personal information ,
"FinThrive Healthcare, Inc.",FinThrive,https://www.finthrive.com,tuhc@finthrive.com,855-828-3146,7950 Legacy Drive,Plano,TX,75024,USA,N/A,No,No,No,https://www.finthrive.com/privacy-policy,No,,,,No,,,,No,,,,Yes,"As a business associate to covered entities we receive PHI in order to perform services, but our use of PHI is limited by the Master Services Agreement and Business Associate Agreement.","The revenue cycle technology and services provided to our covered entity customers involve PHI and, in some circumstances, could be regulated by CMIA. We do not sell PHI or identifiable medical information covered by CMIA. ",No data covered by CMIA is sold.,Yes,"As a business associate to covered entities we receive PHI in order to perform services, but our use of PHI is limited by the Master Services Agreement and Business Associate Agreement. We do not sell PHI.","The revenue cycle technology and services provided to our covered entity customers involve PHI. As a business associate to covered entities we receive PHI in order to perform services, but our use of PHI is limited by the Master Services Agreement and Business Associate Agreement.",No data covered by HIPAA is sold.,63,63,0,0,9,8.9,10,10,0,0,4,4.8,4,4,0,0,4,4.8,65,65,0,0,5,6.3,0,0,0,0,0,0,,
Merkle Inc.,,https://www.merkle.com,americas.dpo@dentsu.com,,7001 Columbia Gateway Drive,Columbia,MD,21046,USA,N/A,No,No,No,https://www.merkle.com/en/privacy-policy.html,No,,,,No,,,,No,,,,No,,,,No,,,,685,524,0,161,6.69,6.44,55,32,0,23,15,33.86,0,0,0,0,0,0,1288,1108,0,166,3.1,6.24,5,5,0,0,4.1,7.8,,
DATONICS LLC,,https://www.datonics.com/,accounting@datonics.com,646-867-0647,"3718 Northern Blvd., #404",LIC,NY,11101,USA,N/A,No,No,No,https://www.datonics.com/privacy/privacy-choices,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,
FlashIntel,,https://www.flashintel.ai/,legal@myflashcloud.com,,Two Embarcadero Center,San Francisco,CA,94111,USA,N/A,No,No,No,https://www.flashintel.ai/privacy-statement-us/,No,,,,No,,,,No,,,,No,,,,No,,,,17,4,6,7,15,10,1,1,1,0,15,10,1,1,0,1,15,10,1,0,0,0,15,10,0,0,0,0,0,0,,
Intent IQ LLC,,https://www.intentiq.com/,privacy@intentiq.com,,37-18 Northern Boulevard,Long Island City,NY,11101,USA,N/A,No,No,No,https://www.intentiq.com/opt-out/,No,,,,No,,,,No,,,,No,,,,No,,,,84,84,0,0,0,0,18,18,0,0,0,0,18,18,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,"Requests to limit the data broker’s use and disclosure of sensitive personal information: Intent IQ does not knowingly collect sensitive personal information (as defined by the CCPA)

The median and the mean number of days within which a data broker substantively responded to the above requests in the previous calendar year: Intent IQ processes the above consumer requests in near real-time, therefore there is no number of days to report.",
WINR Data B.V.,WINR Data Pty Ltd.,https://www.winrdata.com/,privacy@winrdata.com,,N/A,Amsterdam,NL,01012,Netherlands,"Prins Hendrikkade 21e, Amsterdam, 1012TL",No,No,No,https://www.winrdata.com/privacy-policy-us/,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Redmob LLC,,https://www.redmob.io/,privacy@redmob.io,,"30 N Gould St., Ste. R",Sheridan,WY,82801,USA,N/A,No,No,No,https://www.redmob.io/privacy-policy,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Visual Visitor L.L.C.,,https://www.visualvisitor.com/,privacy@visualvisitor.com,770-685-6423,"7400 Baymeadows Way, Suite 230",Jacksonville,FL,32256,USA,n/a,No,No,No,https://www.visualvisitor.com/opt-out/,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Newly registered as Data Broker in 2024.,
True Blue Analytics LLC,,https://www.trueblueanalytics.org/,privacy@trueblueanalytics.org,,"919 North Market Street, Suite 950",Wilmington,DE,19801,USA,N/A,No,Yes,No,https://www.trueblueanalytics.org/privacy-policy,No,,,,No,,,,No,,,,No,,,,No,,,,34,34,0,0,16,21,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,0,16,21,0,0,0,0,0,0,The entirety of the requests in 2023 were to remove and opt-out.,
"DealerSocket, LLC",,https://www.dealersocket.com/,Privacy@solera.com,,"1500 Solana Blvd, Bldg. 6, Suite 6300, ",Westlake,TX,76262,USA,N/A,No,No,No,https://dealersocket.com/privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,1,1,0,0,32,32,1,1,0,0,14,14,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,,
"Throtle, Inc",,https://www.throtle.io,jmcleod@throtle.io,,"141 W. Front Street, Suite 312
",Red Bank,NJ,07701,USA,N/A,No,No,No,https://www.throtle.io/privacy,No,,,,No,,,,No,,,,No,,,,No,,,,1617,523,1094,0,4,3,2,2,2,0,10,10,0,0,0,0,0,0,1617,523,1094,0,3,4,0,0,0,0,0,0,"Throtle treats deletes and opt-out request similarly in that we permanently delete information and do not share or sell information from individuals that have either opted-out of sales, or sharing or requested to have their data deleted. ",
"Cuebiq Group, LLC",,https://www.cuebiq.com,privacy@cuebiq.com,,"1460 Broadway
",New York,NY,10036,USA,n/a,No,Yes,No,https://www.cuebiq.com/privacypolicy/,No,,,,No,,,,No,,,,No,,,,No,,,,647,336,0,311,5,5,35,15,0,20,4,4,35,15,0,20,4,4,43300141,43159392,0,140479,1,1,0,0,0,0,0,0,"Cuebiq does not distinguish between a general ""opt-out"" request and a request to limit only sensitive data/sharing. All requests of this nature are treated as opt-outs for all collection and sharing, both sensitive and non-sensitive.

Requests are only denied when Cuebiq does not have any record of the user's data. 

Opt-out requests are added to the suppression list regardless of whether Cuebiq has previously collected the user's data. The 140,479 opt-out requests that were denied was due to the user providing an invalid mobile Ad ID which could not be opted out due to incorrect formatting.",Additional information about Cuebiq's privacy practices may be found here: https://www.cuebiq.com/about/privacy-commitment/
"People Data Labs, Inc.",,https://www.peopledatalabs.com/,privacy@peopledatalabs.com,,"
PO Box 7775 PMB 25778
",San Francisco ,CA,94120,USA,N/A,No,No,No,https://privacy.peopledatalabs.com/policies?name=privacy-policy,No,,,,No,,,,No,,,,No,,,,No,,,,15603,15603,0,0,0.02,0.02,78,73,0,5,0,0.18,78,73,0,5,8,8,832,832,832,0,0,0,0,0,0,0,0,0,,
"Warmly, Inc",,https://www.warmly.ai/,vendors@warmly.ai,404-293-1239,1256 Euclid Ave NE,Atlanta,GA,30307,USA,N/A,No,Yes,No,https://www.warmly.ai/p/privacy-policy#your-choices,No,,,,No,,,,No,,,,No,,,,No,,,,50,50,50,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,1,1,0,0,0,0,0,0,,
"Connext Digital, LLC",,https://www.connextdigital.com,info@connextdigital.com,973-945-0246,"37 Apollo Road
",Bethel,CT,06801,USA,N/A,No,No,No,https://www.connextdigital.com/ccpa/,No,,,,No,,,,No,,,,No,,,,No,,,,15,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,1,1,0,0,0,0,0,0,"Of the 15 requests we received, none of the 15 data records were found within our database. We still added those records to our suppression file to ensure those records would never be added.",
"Outward Media, Inc.",,https://www.outwardmedia.com,privacy@outwardmedia.com,310-274-5312,"9229 Sunset Blvd., Suite 410",West Hollywood,CA,90069,USA,N/A,No,No,No,https://outwardmedia.com/privacypolicy,No,,,,No,,,,No,,,,No,,,,No,,,,323,81,0,0,3,3,0,0,0,0,0,0,25,25,0,0,3,3,325,0,0,0,0,0,0,0,0,0,0,0,,
Magnite Inc,,https://www.magnite.com,privacy@magnite.com,,"6080 Center Drive, Suite 400/4th Floor",Los Angeles,CA,90045,USA,N/A,No,Yes,No,https://www.magnite.com/legal/user-choice-portal/,No,,,,No,,,,No,,,,No,,,,No,,,,26,0,0,26,5,6.76,15,0,0,15,4,11,15,0,0,15,4,11,2258275,2258275,0,0,1,1,0,0,0,0,0,0,,
Minerva BI Inc,,https://www.minervabio.com/,justin@minerva.io,,"300 Kent Avenue, Ste. 305",brooklyn,NY,11249,USA,n/a,No,No,No,https://pages.minerva.io/privacy-policy,No,,,,No,,,,No,,,,No,,,,No,,,,252,252,0,0,8,9,4,4,0,0,7,8,4,4,0,0,8,8,14,14,0,0,6,6,0,0,0,0,0,0,,
"Nativo, Inc.",,https://www.nativo.com/,privacy@nativo.com,,"222 Pacific Coast Highway, FL 10
",El Segundo,CA,90245,USA,N/A,No,No,No,https://www.nativo.com/interest-based-ads#your-rights,No,,,,No,,,,No,,,,No,,,,No,,,,12,12,0,0,1,1,3,3,0,0,1,1,3,3,0,0,1,1,571,571,0,0,1,1,0,0,0,0,1,1,,
Precisely Software Incorporated,,https://www.precisely.com,privacy@precisely.com,,1700 District Ave #300,Burlingon,MA,01803,USA,N/A,No,No,No,https://www.precisely.com/legal/privacy-policy/your-privacy-choices,No,,,,No,,,,No,,,,No,,,,No,,,,18,10,0,8,7,19,21,18,0,3,3,3,16,15,0,0,3,3,2,1,0,1,12,12,0,0,0,0,0,0,,Precisely is committed to safeguarding personal data and respecting privacy. Please visit: www.precisely.com/legal/privacy-notice to read our Privacy Notice and learn more about our privacy practices.
"PlaceIQ, Inc.","Precisely PlaceIQ, PIQ, PlaceIQ",https://www.precisely.com,placeiq.privacy@precisely.com,,1700 District Ave #300,Burlington,MA,01803,USA,N/A,No,Yes,No,https://www.precisely.com/legal/privacy-policy/your-privacy-choices,No,,,,No,,,,No,,,,No,,,,No,,,,53,10,0,43,12,21,15,5,0,10,27,33,23,18,0,5,45,40,49,30,0,19,10,7,0,0,0,0,0,0,,PlaceIQ is committed to safeguarding personal data and respecting privacy. Please visit: https://www.precisely.com/legal/placeiq-california-notice-at-collection-and-privacy-notice to read our Product CA Notice At Collection And Privacy Notice and learn more about our privacy practices.
